accolades,aging,alcohol,average_age_of_vines,cheese_pairing,country,density,description,dessert_pairing,fermentation_&_maceration,grape_varietal,harvest_method,legumes_pairing,meat_pairing,mouth_attribute,name,nose_attribute,others_pairing,pasta_pairing,price,producer,product_type,production_method,psata_pairing,region,seafood_pairing,sku,vintage,volume(ml),winemakers,acidity
Vegan Wine,Stainless Steel,8%,,,AUSTRALIA,,"A varietal Pinot Grigio that displays aromas of pear and cut apple with bright floral and citrus notes. The palate is crisp and dry with clean lemon peel and nashi pear flavours, finished with zesty acidity. Pair with fresh prawns and grilled seafood!",,Grapes are destemmed and fermented in stainless steel tanks.,,"Machine, early morning",,,,TREAD SOFTLY 2023 - Pinot Grigio - Australia (250ml Can),,,,10.0,,White Wine,,,,Pair with fresh prawns and grilled seafood,AU186,2023,250,,Medium Acidity
Vegan Wine,Stainless Steel,10%,,,AUSTRALIA,,"Fruit driven flavours are at the fore with fresh pear, apple and subtle citrus fruit with florals and brown spice in support. The wine has a fine, persistent bead and the freshness of acidity helps to drive a longer and satisfying finish.",,Destemming and crushing prior to a regular fermentation in stainless steel tank. A secondary tank ferment ensues to create and capture the CO2 and then a short period of storage before bottling for an early release.,Glera,"Machine, early morning",,,,TREAD SOFTLY - Prosecco - South Australia (250ml Can),,,,10.0,,White Wine,,,South Australia,"Pair with shellfish, lean fish",AU187,NV,250,,- Medium Acidity
,The wine is stored in stainless steel tanks for 3-6 months until it is bottled.,12.5%,15 years,,ITALY,,"Intensely red in colour, with a violet hue and bursting with red fruit flavours. Blackberry and cherry on the nose. Fresh on the palate with notes of raspberry, blueberry and cherry.",,10-20 day fermentation at 25-26°C in 100-400 hl tanks,Montepulciano 85%; Miscellaneous red grapes: 15%,This Montepulciano is the result of both hand and machine-harvesting followed by destemming.,Pair with pasta,"Pair with roast beef, meat.","Fresh, Smooth","BRUMALE - Montepulciano d'Abruzzo DOC, Abruzzo - Italy","Black Berries, Red Fruits",,,15.0,CAVIRO S.C.A.,Red Wine,,,Abruzzo,,IT185,2021,750,Head Winemaker: Riccardo Maraldi,Medium Acidity
Sweet Wine,18 months,13%,25 years,,FRANCE,2500 to 5000 / ha,"This is a fabulous dessert wine with a well deserved reputation. It's a blend of three grape varieties, Semillon, Sauvignon and a little Muscadelle. An extremely elegant wine from the home of dessert wines, Monbazillac.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Pneumatic pressing, thermoregulated stainless steel tanks.","Muscadelle, Semillon",Mechanic and manuel.,,,,DOMAINE DE GRANGE NEUVE Half Bottle 2019 - Monbazillac,,,,18.0,Castaing,Sweet Wine,27 hl/ha,,Monbazillac,,SW36,2019,,Castaing,Medium Acidity
"Organic Wine, Vegan Wine, Zero Alcohol Wine",,0.2%,25 yrs,,FRANCE,6000,"Delicate, pure and elegant. Mineral aromas, brioche and zesty notes of citrus fruits and apple. A pure palate with remarkable finesse and freshness.  Vintage in image may vary. Refer to wine facts for current vintage.",,direct pressing and cold fermentation at 20°C. Sugar: 44.91gr/L,Chardonnay,mechanical,,,,CHAVIN ZERO - Sparkling Chardonnay - France,,,,18.0,PIERRE CHAVIN,Zero Alcohol Wine,230000 liters,,,,CH61,NV,750,CARTEYRON Benjamin,Medium Acidity
Sweet Wine,6 months in stainless steel tank,7.5%,25 yrs,,ITALY,3000 per hectar,"Ruby red with purple notes. The scents are delicate with hints of violet and red fruit. Semi-sparkling (frizzante), foamy with an effervescence produced by natural fermentation. Intensely fruity, fresh, lively, harmonious, medium body. Enjoy as an aperitif, but also as a party wine with pizza, snacks, light meat, pasta dishes and desserts",,Stainless steel tank,Lambrusco,Manual,"Pairs well with pasta dishes, pizza",Enjoy with light meat,"Fresh, Frizzante, Fruity, Medium-bodied, Sweet",Sant'Orsola - Lambrusco Dell'Emilia Rosso  - Emilia Romagna - Italy,"Floral, Red Fruits",,,19.9,FRATELLI MARTINI,Sweet Wine,,,EMILIA ROMAGNA,,IT166,NV,750,Massimo Marasso,Medium Acidity
,Stainless steel,12.00%,,,ITALY,,"Pale yellow in colour with light greenish highlights. An intense bouquet with delicate notes of pear. A young, modern wine with a fresh, harmonic palate.  Excellent as an aperitif, it hsould be served chilled with light dishes and seasonal salads garnished with pine nuts and herbs. An easy wine to pair, it is also ideal with fish and seafood dishes.",Seasonal salads,"Grapes are soft pressed, with a controlled temperature fermentation using selected yeasts. Residual sugar at 46/L",Pinot Grigio,,,,,GIO 2022 - Pinot Grigio Delle Venezie DOC - Italy,,,,19.9,VITICOLTORI PONTE SRL,White Wine,,,Veneto,Ideal with fish and seafood dishes.,IT204,2022,750,,Medium Acidity
,not required. This aromatic wine is appreciated also after 2 years from bottling.,5%,more than 20 years,,ITALY,"At least 4,000 vines per hectare.",Medium straw color with matching highlights. The nose is aromatic with fruity notes of citrus as well as floral aromas like rose and orange blossom. The palate is pleasantly sweet and long-lasting.,Enjoy this wine with your favourite dessert. From baked pastries to fresh cream-filled treats.,"MOSCATO d’ASTI DOCG is not considered a sparkling wine, as it only undergoes partial fermentation in pressure tanks. Fermentation is terminated when the alcohol content of about 5% by vol. is reached. The use of cold chain technology in the production process means the aromas and flavours of the grapes are preserved and the product can be stabilised, ready for storage and transportation.   Fermentation takes place in stainless steel vats at controlled temperatures with microfiltration.",,Harvesting is still accomplished by hand to keep the bunches whole and preserve the characteristic aroma of the grapes,,,,RICOSSA 2022 - Moscato d'Asti - Piedmont DOCG - Italy,,,,19.9,Mondo Del Vino S.P.A.,Champagne & Sparkling,"10 tons/hectar of grapes, 7,5 toons/hectar grape juice, 10,000 bottles/hectar finished.",,,,IT180,2022,750,Daniele Astegiano,Medium Acidity
,No,10.5%,30 years,,PORTUGAL,3300 vines/ha,"Light pink, refreshing and fruity Rose, bursting with aromas and nuances of pineapple and banana. Good acidity, which gives it great freshness and balance. Drink by itself well chilled or with seafood or fish.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Cold fermentation in stainless steel vats for 7 days, procedure done throughout the year to offer the consumers a recently fermented wine with consistency in terms of style and taste. For this we use the most modern technology of conservation and production. This rosé wine combines a balanced acid component with a fruity taste palette of tremendous persistence.","Tinta Roriz, Baga",The grapes are machine-harvested.,,,"Balanced, Fresh",CASAL MENDES - Vinho Verde Rosé  - Baga - Portugal,"Fruity, Tropical Fruit",,,19.9,Aliança Vinhos de Portugal,Rose,15 ton / ha,,Vinho Verde,Drink by itself well chilled or with seafood or fish. The ideal serving temperature is between 6-7 ºC.,PO03,NV,750ml,Francisco Antunes,Medium Acidity
Mundus Vini Gold,2 months in bottle,12.5%,,Soft cheese,PORTUGAL,,"Limpid Aspect, Ruby colour. Young and fruity aroma. Fruity, balanced and with harmony. It goes well with baked fish, grilled or roasted white meat, pasta and soft cheeses. Drink at 10C.",,"Total destemm, soft skin maceration. Pressed at 1040 of density.","Touriga-Nacional, Alfrocheiro, Aragonez, Jaen",,Pasta,Grilled or roasted white meat,"Balanced, Easy-drinking, Fruity","CABRIZ ""C de Cabriz"" - Terras Do DãO IGP - Portugal","Dark Fruit, Fruity, Red Fruits",,,19.9,Quinta de Cabriz (by Global Wines),Red Wine,50 000 bottles,,DÃO,Goes well with baked fish,PO14,NV,750,Osvaldo Amado,High Acidity
